id;numero;libelle
55;1685000;Rentes viagères capitalisées
56;1687000;Autres dettes
57;1688000;Intérêts courus
58;1690000;Primes de remboursement des obligations
59;1710000;Dettes rattachées à des participations (groupe)
60;1740000;Dettes rattachées à des participati. (hors groupe)
61;1780000;Dettes rattachées à des sociétés en participation
62;1810000;Comptes de liaison des établissements
63;1860000;Biens et prestations entre établis. (charges)
64;1870000;Biens et prestations entre établis. (produits)
65;1880000;Comptes de liaison des sociétés en participation
66;2010000;Frais d'établissement
67;2011000;Frais de constitution
68;2012000;Frais de premier établissement
69;2013000;Frais d'augmentation de capital(fusions,scissions)
70;2030000;Frais de recherche et de développement
71;2050000;Concessions et droits similaires,brevets,licences
72;2060000;Droit au bail
73;2070000;Fonds commercial
74;2080000;Autres immobilisations incorporelles
75;2110000;Terrains
76;2111000;Terrains nus
77;2112000;Terrains aménagés
78;2113000;Sous-sols et sur-sols
79;2114000;Terrains de gisement
80;2115000;Terrains bâtis
81;2116000;Compte d'ordre sur immobilisations
82;2120000;Agencements et aménagements de terrains
83;2130000;Constructions
84;2131000;Bâtiments
85;2135000;Instal. générales, agencements constructions
86;2138000;Ouvrages d'infrastructure
87;2140000;Constructions sur sol d'autrui
88;2150000;Instal. techniques,matériel,outillage industriels
89;2151000;Installations complexes spécialisées
90;2153000;Installations à caractère spécifique
91;2154000;Matériel industriel
92;2155000;Outillage industriel
93;2157000;Agencement du matériel et outillage industriels
94;2180000;Autres immobilisations corporelles
95;2181000;instal. générales,agencements,aménagements divers
96;2182000;Matériel de transport
97;2183000;Matériel de bureau et matériel informatique
98;2184000;Mobilier
99;2185000;Cheptel
100;2186000;Emballages récupérables
101;2200000;Immobilisations mises en concession
102;2310000;Immobilisations corporelles en cours
103;2312000;Immo. corporelles en cours : Terrains
104;2313000;Immo. corporelles en cours : Constructions
105;2315000;Immo. corporelles en cours : Instal. techni.,mat.
106;2318000;Immo. corporelles en cours : Autres immo. corpo.
107;2320000;Immobilisations incorporelles en cours
108;2370000;Avances et acomptes versés s/immo. incorporelles
109;2380000;Avances,acomptes versés s/commandes immo. corpor.
110;2610000;Titres de participation
111;2611000;Titres de participation : Actions
112;2618000;Titres de participation : Autres titres
113;2660000;Autres formes de participation
114;2670000;Créances rattachées à des participations
115;2680000;Créances rattachées à sociétés en participation
116;2690000;Versement restant à effectuer s/titres non libérés
117;2710000;Titres immobilisés (droit de propriété)
118;2720000;Titres immobilisés (droit de créance)
119;2740000;Prêts
120;2741000;Prêts participatifs
121;2742000;Prêts aux associés
122;2743000;Prêts au personnel
123;2748000;Autres prêts
124;2750000;Dépôts et cautionnements versés
125;2751000;Dépôts
126;2755000;Cautionnements
127;2760000;Autres créances immobilisées
128;2761000;Créances diverses
129;2768000;Intérêts courus
130;2770000;Actions propres ou parts propres
131;2790000;Versement restant à effectuer s/titres non libérés
132;2800000;Amortissements des immobilisations incorporelles
133;2801000;Amortis. Frais d'établissement
134;2803000;Amortis. Frais de recherche et développement
135;2805000;Amortis. Concessions et droits similaires
136;2807000;Amortis. Fonds commercial
137;2808000;Amortis. Autres immobilisations incorporelles
138;2811000;Amortis. Terrains de gisement
139;2812000;Amortis. Agencements, aménagements de terrains
140;2813000;Amortis. Constructions
141;2814000;Amortis. Constructions sur sol d'autrui
142;2815000;Amortis. Installations techniques,matériel,outill.
143;2818000;Amortis. Autres immobilisations corporelles
144;2818100;Amortis. Installations et Agencements
145;2818200;Amortis. Matériel de transport
146;2818300;Amortis. Matériel de bureau et informatique
147;2818400;Amortis. Mobilier
148;2818500;Amortis. Cheptel
149;2818600;Amortis. Emballages récupérables
150;2820000;Amortissements immobilisations mises en concession
151;2900000;Provisions pour dépréciation immo. incorporelles
152;2905000;Provi. dépréc. Marques,procédés,droits similaires
153;2906000;Provi. dépréc. Droit au bail
154;2907000;Provi. dépréc. Fonds commercial
155;2908000;Provi. dépréc. Autres immo. incorporelles
156;2910000;Provisions pour dépréciation immo. corporelles
157;2920000;Provi. dépréc. immo. mises en concession
158;2930000;Provisions pour dépréciation des immo. en cours
159;2960000;Provisions pour dépréciation des participations
160;2961000;Provi. dépréc. Titres de participation
161;2966000;Provi. dépréc. Autres formes de participation
162;2967000;Provi. dépréc. Créances rattachées à participation
163;2968000;Provi. dépréc. Créances rattachées à sociétés
164;2970000;Provisions pour dépréc. autres immo. financières
165;2971000;Provi. dépréc. Titres immobilisés-droit propriété
166;2972000;Provi. dépréc. Titres immobilisés-droit créance
167;2974000;Provi. dépréc. Prêts
168;2975000;Provi. dépréc. Dépôts et cautionnements versés
169;2976000;Provi. dépréc. Autres créances immobilisées
170;3100000;Matières Premières
171;3200000;Autres Approvisionnements
172;3210000;Autres Appro. : Matières consommables
173;3220000;Autres Appro. : Fournitures consommables
174;3260000;Autres Appro. : Emballages
175;3300000;En-cours de production de biens
176;3310000;En-cours de production de biens : Produits
177;3350000;En-cours de production de biens : Travaux
178;3400000;En-cours de production de services
179;3410000;En-cours de production de services : Etudes
180;3450000;En-cours de production de services : Prestations
181;3500000;Stocks de produits
182;3510000;Stocks de produits : Produits intermédiaires
183;3550000;Stocks de produits : Produits finis
184;3580000;Stocks de produits : Produits résiduels
185;3700000;Stocks de Marchandises
186;3910000;Provi. dépréc. des matières premières
187;3920000;Provi. dépréc. des autres approvisionnements
188;3921000;Provi. dépréc. autres appro. : Matières consomma.
189;3922000;Provi. dépréc. autres appro. : Fournitures consom.
190;3926000;Provi. dépréc. autres appro. : Emballages
191;3930000;Provi. dépréc. en-cours de production de biens
192;3940000;Provi. dépréc. en-cours de production de services
193;3950000;Provi. dépréc. des stocks de produits
194;3970000;Provi. dépréc. des stocks de marchandises
195;4010000;Fournisseurs (compte collectif)
196;4011000;Fournisseur SDM
197;4012000;Fournisseur Frais Généraux
198;4013000;Frais Greffe
199;4030000;Fournisseurs - Effets à payer
200;4040000;Fournisseurs d'immobilisations
201;4050000;Fournisseurs d'immo. - Effets à payer
202;4080000;Fournisseurs - Factures non parvenues
203;4081000;Fournisseurs - Factures non parvenues-Fournisseurs
204;4084000;Factures non parvenues-Fournisseurs d'immo.
205;4088000;Factures non parvenues - Fournis.- Intérêts courus
206;4090000;Fournisseurs Débiteurs
207;4098000;Fournisseurs Débiteurs - Avoirs à recevoir
208;4110000;Clients (compte collectif)
209;4130000;Clients - Effets à recevoir
210;4160000;Clients douteux ou litigieux
211;4170000;Créances sur travaux non encore facturables
212;4180000;Clients - Produits non encore facturés
213;4181000;Clients - Factures à établir
214;4190000;Clients Créditeurs - Acomptes TVA 1
215;4190007;Clients Créditeurs - Acomptes TVA 2
216;4190100;Clients Créditeurs - Acomptes TVA exonérée
217;4198000;Clients Créditeurs - Avoirs à établir
218;4210000;Personnel - Rémunérations dues
219;4220000;Comités d'entreprise, d'établissement
220;4240000;Participation des salariés
221;4246000;Participation des salariés : Réserve spéciale
222;4248000;Participation des salariés : Comptes courants
223;4250000;Personnel - Avances et acomptes
224;4260000;Personnel - Dépôts
225;4270000;Personnel - Oppositions
226;4282000;Personnel-Dettes provisionnées pour congés à payer
227;4286000;Personnel-Autres charges à payer
228;4287000;Personnel-Produits à recevoir
229;4310000;URSSAF
230;4372000;Mutuelle
231;4373000;Retraite Obligatoire
232;4374000;ASSEDIC
233;4375000;Retraite Cadres
234;4382000;Organismes sociaux-Chges sociales s/congés à payer
235;4386000;Organismes sociaux-Charges à payer
236;4387000;Organismes sociaux-Produits à recevoir
237;4410000;Etat - Subventions à recevoir
238;4420000;Etat - Impôts et taxes recouvrables sur des tiers
239;4430000;Opérations particulières avec l'Etat,collectivités
240;4440000;Etat - Impôts sur les bénéfices
241;4452011;TVA due intracomunautaire Taux 1/Factures
242;4452012;TVA due intracomunautaire Taux 2/Factures
243;4452013;TVA due intracomunautaire Taux 3/Factures
244;4452021;TVA due intracomunautaire Taux 1/Décaissements
245;4452022;TVA due intracomunautaire Taux 2/Décaissements
246;4452023;TVA due intracomunautaire Taux 3/Décaissements
247;4455100;TVA à décaisser
248;4455800;Taxes assimilées à la TVA
249;4456200;TVA déductible sur immobilisations
250;4456610;TVA déductible Achats exonérés/Factures
251;4456611;TVA déductible Achats Taux 1/Factures
252;4456612;TVA déductible Achats Taux 2/Factures
253;4456613;TVA déductible Achats Taux 3/Factures
254;4456614;TVA déductible Achats Taux 4/Factures
255;4456620;TVA déductible Achats exonérés/Décaissements
256;4456621;TVA déductible Achats Taux 1/Décaissements
257;4456622;TVA déductible Achats Taux 2/Décaissements
258;4456623;TVA déductible Achats Taux 3/Décaissements
259;4456624;TVA déductible Achats Taux 4/Décaissements
260;4456631;TVA déductible Achats UE Taux 1/Factures
261;4456632;TVA déductible Achats UE Taux 2/Factures
262;4456633;TVA déductible Achats UE Taux 3/Factures
263;4456641;TVA déductible Achats UE Taux 1/Décaissements
264;4456642;TVA déductible Achats UE Taux 2/Décaissements
265;4456643;TVA déductible Achats UE Taux 3/Décaissements
266;4456700;Crédit de TVA à reporter
267;4456800;Taxes assimilées à la TVA 
268;4457110;TVA collectée Ventes exonérées/Factures
269;4457111;TVA collectée Ventes Taux 1/Factures
270;4457112;TVA collectée Ventes Taux 2/Factures
271;4457113;TVA collectée Ventes Taux 3/Factures
272;4457114;TVA collectée Ventes Taux 4/Factures
273;4457120;TVA collectée Ventes exonérées/Encaissements
274;4457121;TVA collectée Ventes Taux 1/Encaissements
275;4457122;TVA collectée Ventes Taux 2/Encaissements
276;4457123;TVA collectée Ventes Taux 3/Encaissements
277;4457124;TVA collectée Ventes Taux 4/Encaissements
278;4457130;TVA collectée Ventes UE/Factures
279;4457140;TVA collectée Ventes UE/Encaissements
280;4457800;Taxes assimilées à la TVA 
281;4458100;Acomptes - Régime simplifié d'imposition
282;4458200;Acomptes - Régime du forfait
283;4458300;Remboursement de taxes sur le chiffre d'affaires
284;4458400;TVA récupérée d'avance
285;4458600;Taxes s/le chiffre d'aff. s/factures non parvenues
286;4458700;Taxes s/le chiffre d'aff. s/factures à établir
287;4458701;TVA collectée Ventes Taux 1/Acomptes
288;4458702;TVA collectée Ventes Taux 2/Acomptes
289;4460000;Obligations cautionnées
290;4470000;Autres impôts, taxes et versements assimilés
291;4482000;Etat - Charges fiscales sur congés à payer
292;4486000;Etat - Autres charges à payer
293;4487000;Etat - Produits à recevoir
294;4510000;Groupe
295;4551000;Associés - Comptes courants : Principal
296;4551100;Compte courant associé Thomas Milotti
297;4558000;Associés - Comptes courants : Intérêts courus
298;4560000;Associés - Opérations sur le capital
299;4561500;Associés - Comptes d'apport en numéraire
300;4562500;Associés - Capital appelé, non versé
301;4570000;Associés - Dividendes à payer
302;4580000;Associés - Opérations faites en commun et en GIE
303;4620000;Créances sur cessions d'immobilisations
304;4640000;Dettes s/acquisitions valeurs mobilières placement
305;4650000;Créances s/cessions valeurs mobilières placement
306;4670000;Autres comptes débiteurs et créditeurs
307;4686000;Divers - Charges à payer
308;4687000;Divers - Produits à recevoir
309;4710000;Compte d'attente
310;4760000;Différences de conversion - ACTIF
311;4770000;Différences de conversion - PASSIF
312;4780000;Autres comptes transitoires
313;4810000;Charges à répartir sur plusieurs exercices
314;4860000;Charges constatées d'avance
315;4870000;Produits constatés d'avance
316;4910000;Provisions pour dépréciation des comptes clients
317;4950000;Provis. pour dépréc. des comptes associés
318;4960000;Provis. pour dépréc. des comptes débiteurs divers
319;5020000;Actions propres
320;5030000;Actions
321;5031000;Actions : Titres cotés
322;5035000;Actions : Titres non cotés
323;5040000;Autres titres conférant un droit de propriété
324;5050000;Obligations/Bons émis par la société et rachetés
325;5060000;Obligations
326;5061000;Obligations : Titres cotés
327;5065000;Obligations : Titres non cotés
328;5070000;Bons du Trésor et bons de caisse à court terme
329;5080000;Autres valeurs mobilières et créances assimilées
330;5090000;Versements restant à effectuer s/valeurs non libé.
331;5110000;Valeurs à l'encaissement
332;5120000;Banques
333;5140000;Chèques postaux
334;5150000;Caisses du Trésor et des établissements publics
335;5160000;Agents de change
336;5170000;Autres organismes financiers
337;5186000;Intérêts courus à payer
338;5187000;Intérêts courus à recevoir
339;5198000;Intérêts courus sur concours bancaires courants
340;5300000;Caisse
341;5800000;Virements internes
342;5900000;Provis. pour dépréc. valeurs mobilières placement
343;6010000;Achats stockés - Matières premières TVA 1
344;6010002;Achats stockés - Matières premières TVA 2
345;6010003;Achats stockés - Matières premières TVA 3
346;6010100;Achats stockés - Matières premières exonérés
347;6010200;Achats stockés - Matières premières UE TVA 1
348;6010202;Achats stockés - Matières premières UE TVA 2
349;6010203;Achats stockés - Matières premières UE TVA 3
350;6020000;Achats stockés - Autres approvisionnements
351;6021000;Achats stockés - Matières consommables
352;6022000;Achats stockés - Fournitures consommables
353;6022100;Achats stockés - Combustibles
354;6022200;Achats stockés - Produits d'entretien
355;6022300;Achats stockés - Fournitures d'atelier et d'usine
356;6022400;Achats stockés - Fournitures de magasin
357;6022500;Achats stockés - Fournitures de bureau
358;6026000;Achats stockés - Emballages
359;6026100;Achats stockés - Emballages perdus
360;6026500;Achats stockés - Emball. récupérables non identif.
361;6026700;Achats stockés - Emballages à usage mixte
362;6031000;Variation des stocks de matières premières
363;6032000;Variation des stocks des autres approvisionnements
364;6037000;Variation des stocks de marchandises
365;6040000;Achats études et prestations de services TVA 1
366;6040002;Achats études et prestations de services TVA 2
367;6040003;Achats études et prestations de services TVA 3
368;6040100;Achats études et prestations de services exonérés
369;6040200;Achats études et prestations de services UE TVA 1
370;6040202;Achats études et prestations de services UE TVA 2
371;6040203;Achats études et prestations de services UE TVA 3
372;6050000;Achats matériels, équipements et travaux TVA 1
373;6050002;Achats matériels, équipements et travaux TVA 2
374;6050003;Achats matériels, équipements et travaux TVA 3
375;6050100;Achats matériels, équipements et travaux exonérés
376;6050200;Achats matériels, équipements et travaux UE TVA 1
377;6050202;Achats matériels, équipements et travaux UE TVA 2
378;6050203;Achats matériels, équipements et travaux UE TVA 3
379;6060000;Achats non stockés matières, fournitures TVA 1
380;6060002;Achats non stockés matières, fournitures TVA 2
381;6060003;Achats non stockés matières, fournitures TVA 3
382;6060100;Achats non stockés matières, fournitures exonérés
383;6060200;Achats non stockés matières, fournitures UE TVA 1
384;6060202;Achats non stockés matières, fournitures UE TVA 2
385;6060203;Achats non stockés matières, fournitures UE TVA 3
386;6061100;EDF Consommations
387;6061103;EDF Abonnement TVA 3
388;6061200;Carburant
389;6061300;Eau
390;6062000;Fournitures d'entretien
391;6063000;Petit matériel et outillage
392;6064000;Fournitures administratives
393;6068000;Autres matières, fournitures
394;6070000;Achats de marchandises TVA 1
395;6070002;Achats de marchandises TVA 2
396;6070003;Achats de marchandises TVA 3
397;6070004;Achats de marchandises TVA 4
398;6070100;Achats de marchandises exonérés
399;6070200;Achats de marchandises UE TVA 1
400;6070202;Achats de marchandises UE TVA 2
401;6070203;Achats de marchandises UE TVA 3
402;6080000;Frais accessoires sur achats TVA 1
403;6080100;Frais accessoires sur achats exonérés
404;6080200;Frais accessoires sur achats UE TVA 1
405;6090000;Rabais, remises et ristournes obtenus sur achats
406;6100000;Services extérieurs
407;6110000;Sous-traitance générale
408;6122000;Redevances de crédit-bail mobilier
409;6125000;Redevances de crédit-bail immobilier
410;6132000;Locations immobilières
411;6135000;Locations mobilières
412;6136000;Locations : Malis sur emballages
413;6140000;Charges locatives et de copropriété
414;6152000;Entretien et réparations : sur biens immobiliers
415;6155000;Entretien et réparations : sur biens mobiliers
416;6156000;Maintenance
417;6161000;Primes d'assurances : Multirisques
418;6162000;Primes d'assurances : Dommage-Construction
419;6163000;Assurance transport
420;6163600;Assurance transport : sur achats
421;6163700;Assurance transport : sur ventes
422;6163800;Assurance transport : sur autres biens
423;6164000;Primes d'assurances : Risques d'exploitation
424;6165000;Primes d'assurances : Insolvabilité clients
425;6170000;Etudes et recherches
426;6180000;Divers
427;6181000;Documentation générale
428;6183000;Documentation technique
429;6185000;Frais de colloques, séminaires, conférences
430;6190000;Rabais,remises,ristournes obtenus s/services exté.
431;6210000;Personnel extérieur à l'entreprise
432;6211000;Personnel intérimaire
433;6214000;Personnel détaché ou prêté à l'entreprise
434;6221000;Commissions et courtages sur achats
435;6222000;Commissions et courtages sur ventes
436;6224000;Rémunérations des transitaires
437;6225000;Rémunérations d'affacturage
438;6226000;Honoraires
439;6227000;Frais d'actes et de contentieux
440;6228000;Rémunéra. d'intermédiaires et honoraires : divers
441;6230000;Publicité, publications, relations publiques
442;6231000;Annonces et insertions
443;6232000;Echantillons
444;6233000;Foires et expositions
445;6234000;Cadeaux à la clientèle
446;6235000;Primes
447;6236000;Catalogues et imprimés
448;6237000;Publications
449;6238000;Divers (pourboires, dons courants...)
450;6241000;Transports sur achats
451;6242000;Transports sur ventes
452;6243000;Transports entre établissements ou chantiers
453;6244000;Transports administratifs
454;6247000;Transports collectifs du personnel
455;6248000;Transports de biens et personnel : divers
456;6251000;Voyages et déplacements
457;6255000;Frais de déménagement
458;6256000;Missions
459;6257000;Réceptions
460;6260000;Frais postaux et télécommunications
461;6270000;Services bancaires et assimilés
462;6271000;Frais sur titres (achat, vente, garde)
463;6272000;Commissions et frais sur émission d'emprunts
464;6275000;Frais sur effets
465;6276000;Location de coffres
466;6278000;Frais et commissions banque
467;6281000;Concours divers (cotisations...)
468;6284000;Frais de recrutement de personnel
469;6290000;Rabais,remises,ristou. obtenus s/autres services
470;6311000;Taxe sur les salaires
471;6312000;Taxe d'apprentissage
472;6313000;Participation employeurs à la formation professio.
473;6314000;Cotisa. pour défaut d'investis.obliga. dans const.
474;6318000;Autres
475;6331000;Versement de transport
476;6332000;Allocation logement
477;6333000;Participation employeurs à la formation professio.
478;6334000;Participa. employeurs à l'effort de construction
479;6335000;Versements libératoires pour exo. taxe apprentis.
480;6338000;Autres
481;6351000;Impôts directs (sauf impôts sur les bénéfices)
482;6351100;Taxe professionnelle
483;6351200;Taxes foncières
484;6351300;Autres impôts locaux
485;6351400;Taxe sur les véhicules de société
486;6352000;Taxes sur le chiffre d'affaires non récupérables
487;6353000;impôts indirects
488;6354000;Droits d'enregistrement et de timbres
489;6354100;Droits de mutation
490;6358000;Autres droits
491;6371000;Contribution sociale de solidarité
492;6378000;Taxes diverses
493;6411000;Salaires, appointements, commissions de base
494;6412000;Congés payés
495;6413000;Primes et gratifications
496;6414000;Indemnités et avantages divers
497;6415000;Supplément familial
498;6440000;Rémunération du travail de l'exploitant
499;6450000;Charges de sécurité sociale et de prévoyance
500;6451000;Cotisations à l'URSSAF
501;6452000;Cotisations aux mutuelles
502;6453000;Cotisations aux caisses de retraites
503;6454000;Cotisations aux ASSEDIC
504;6458000;Cotisations aux autres organismes sociaux
505;6460000;Cotisations sociales personnelles de l'exploitant
506;6471000;Prestations directes
507;6472000;Versements aux comités d'entreprise et d'établis.
508;6473000;Versement aux comités d'hygiène et de sécurité
509;6474000;Versement aux autres oeuvres sociales
510;6475000;Médecine du travail, pharmacie
511;6480000;Autres charges de personnel
512;6490000;CREDIT IMPOT COMPETITIVITE EMPLOI
513;6510000;Redevances pour concessions, brevets, licences
514;6530000;Jetons de présence
515;6540000;Pertes sur créances irrécouvrables
516;6550000;Quotes-parts de résultat s/opérations en commun
517;6580000;Charges diverses de gestion courante
518;6611000;Intérêts des emprunts et dettes
519;6615000;Intérêts des comptes courants et des dépôts
520;6616000;Intérêts bancaires et s/ opérations de financement
521;6617000;Intérêts des obligations cautionnées
522;6618000;Intérêts des autres dettes
523;6640000;Pertes sur créances liées à des participations
524;6650000;Escomptes accordés
525;6660000;Pertes de change
526;6670000;Charges nettes sur cessions de valeurs mobilières
527;6680000;Autres charges financières
528;6688000;Arrondi conversion EURO
529;6710000;Charges exceptionnelles s/opérations de gestion
530;6711000;Pénalités sur marchés (et dédits payés)
531;6712000;Pénalités, amendes fiscales et pénales
532;6713000;Dons, libéralités
533;6714000;Créances devenues irrécouvrables dans l'exercice
534;6714200;Créances irrécouvrables à 20.6 %
535;6715000;Subventions accordées
536;6717000;Rappels d'impôts (autres qu'impôts s/ bénéfices)
537;6718000;Autres charges exceptionnelles s/opération gestion
538;6720000;Charges exceptionnelles sur exercices antérieurs
539;6750000;Valeurs comptables des éléments d'actif cédés
540;6751000;Valeurs comptables éléts cédés : immo. incorpor.
541;6752000;Valeurs comptables éléts cédés : immo. corporelles
542;6756000;Valeurs comptables éléts cédés : immo. financières
543;6758000;Valeurs comptables éléts cédés : autres éléments
544;6780000;Autres charges exceptionnelles
545;6788000;Malis s/ différences de règlement
546;6811000;Dota. amorts. immo. incorporelles et corporelles
547;6812000;Dota. amorts. charges d'exploitation à répartir
548;6815000;Dota. provis. pour risques et charges exploitation
549;6816000;Dota. provis. pour dépréc. immo. incorpo. et corpo
550;6817000;Dota. provis. pour dépréc. des actifs circulants
551;6860000;Dota. aux amorts. et provis. - Charges financières
552;6861000;Dota. amorts. primes de remboursement obligations
553;6865000;Dota. provis. pour risques et charges financiers
554;6866000;Dota. provis. pour dépréc. des éléments financiers
555;6868000;Autres dotations
556;6871000;Dota. amorts. exceptionnels des immobilisations
557;6872000;Dota. provis. réglementées (immobilisations)
558;6872500;Amortissements dérogatoires
559;6873000;Dota. provis. réglementées (stocks)
560;6874000;Dotations aux autres provisions réglementées
561;6875000;Dota. aux provis. pour risques et charges excepti.
562;6876000;Dota. provis. pour dépréciations exceptionnelles
563;6910000;Participation des salariés
564;6950000;Impôts sur les bénéfices
565;6970000;Imposition forfaitaire annuelle des sociétés
566;6980000;Contribution de 10 %
567;6990000;Produits - Reports en arrière des déficits
568;6999990;Centralisateur des comptes Charges en clôture
569;7010000;Ventes de produits finis TVA 1
570;7010002;Ventes de produits finis TVA 2
571;7010003;Ventes de produits finis TVA 3
572;7010004;Ventes de produits finis TVA 4
573;7010100;Ventes de produits finis exonérées
574;7010110;Ventes de produits finis UE
575;7020000;Ventes de produits intermédiaires
576;7030000;Ventes de produits résiduels
577;7040000;Travaux TVA 1
578;7040002;Travaux TVA 2
579;7040003;Travaux TVA 3
580;7040004;Travaux TVA 4
581;7040100;Travaux exonérés
582;7040110;Travaux UE
583;7050000;Etudes TVA 1
584;7050002;Etudes TVA 2
585;7050003;Etudes TVA 3
586;7050004;Etudes TVA 4
587;7050100;Etudes exonérées
588;7050110;Etudes UE
589;7060000;Prestations de services TVA 1
590;7060002;Prestations de services TVA 2
591;7060003;Prestations de services TVA 3
592;7060004;Prestations de services TVA 4
593;7060100;Prestations de services exonérées
594;7060110;Prestations de services UE
595;7070000;Ventes de marchandises TVA 1
596;7070002;Ventes de marchandises TVA 2
597;7070003;Ventes de marchandises TVA 3
598;7070004;Ventes de marchandises TVA 4
599;7070100;Ventes de marchandises exonérées
600;7070110;Ventes de marchandises UE
601;7080000;Produits des activités annexes TVA 1
602;7080002;Produits des activités annexes TVA 2
603;7080003;Produits des activités annexes TVA 3
604;7080004;Produits des activités annexes TVA 4
605;7080100;Produits des activités annexes exonérés
606;7080110;Produits des activités annexes UE
607;7083000;Locations diverses
608;7085000;Ports frais accessoires facturés TVA 1
609;7085100;Ports frais accessoires facturés exonérés
610;7086000;Bonis sur reprises d'emballages consignés
611;7088000;Autres produits d'activités annexes
612;7090000;Rabais, remises et ristournes accordés TVA 1
613;7090002;Rabais, remises et ristournes accordés TVA 2
614;7090003;Rabais, remises et ristournes accordés TVA 3
615;7090004;Rabais, remises et ristournes accordés TVA 4
616;7090100;Rabais, remises et ristournes accordés exonérés
617;7090110;Rabais, remises et ristournes accordés UE
618;7130000;Variation stocks (en-cours de production,produits)
619;7133000;Variation des en-cours de production de biens
620;7134000;Variation des en-cours de production de services
621;7135000;Variation des stocks de produits
622;7200000;Production immobilisée
623;7310000;Produits nets partiels s/opérations en cours
624;7390000;Produits nets partiels s/opérations terminées
625;7400000;Subventions d'exploitation
626;7510000;Redevances pour concessions, brevets, licences...
627;7520000;Revenus immeubles non affectés aux activités prof.
628;7530000;Jetons de présence et rémunération administrateurs
629;7540000;Ristournes perçues des coopératives
630;7550000;Quotes-parts de résultat s/opérations en commun
631;7580000;Produits divers de gestion courante
632;7610000;Produits de participations
633;7611000;Revenus des titres de participation
634;7616000;Revenus sur autres formes de participation
635;7617000;Revenus des créances rattachées à participations
636;7620000;Produits des autres immobilisations financières
637;7621000;Revenus des titres immobilisés
638;7624000;Revenus des prêts
639;7627000;Revenus des créances immobilisées
640;7630000;Revenus des autres créances
641;7640000;Revenus des valeurs mobilières de placement
642;7650000;Escomptes obtenus
643;7660000;Gains de change
644;7670000;Produits nets sur cessions de valeurs mobilières
645;7680000;Autres produits financiers
646;7688000;Arrondi conversion EURO
647;7710000;Produits exceptionnels sur opérations de gestion
648;7711000;Dédits et pénalités perçus s/achats et s/ventes
649;7713000;Libéralités perçues
650;7714000;Rentrées sur créances amorties
651;7714200;Rentrées sur créances amorties à 20.6 %
652;7715000;Subventions d'équilibre
653;7717000;Dégrèvements d'impôts (autres qu'impôts s/bénéf.)
654;7718000;Autres produits exceptionnels s/opéra. de gestion
655;7720000;Produits exceptionnels sur exercices antérieurs
656;7750000;Produits des cessions d'éléments d'actif
657;7751000;Produits des cessions : immo. incorporelles
658;7752000;Produits des cessions : immo. corporelles
659;7756000;Produits des cessions : immo. financières
660;7758000;Produits des cessions : autres éléments d'actif
661;7770000;Quote-part des subventions d'investissement
662;7780000;Autres produits exceptionnels
663;7788000;Bonis s/ différences de règlement
664;7788100;Produit exceptionel Abandon Compte Thomas Milottti
665;7810000;Reprises s/amortis. et provisions (exploitation)
666;7811000;Reprises s/amort. immo. incorpo. et corporelles
667;7815000;Reprises s/provis. pour risques et charges exploi.
668;7816000;Reprises s/provis. dépré. immo. incorpo. et corpor
