JournalCode;JournalLib;EcritureNum;EcritureDate;CompteNum;CompteLib;CompAuxNum;CompAuxLib;pieceRef;PieceDate;EcritureLib;Debit;Credit;EcritureLet;DateLet;ValidDate;Montantdevise;Idevise;DateRglt;ModeRglt;NatOp;IdClient;IdOrigine
60;Achats;ecriture-piece-33;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-33;20180311;Domiciliation SDM Loyer;35,69;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-33;20190811;6132000;Locations immobilières;;;piece-33;20180311;Domiciliation SDM Loyer;178,44;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-33;20190811;5120000;Banques;;;piece-33;20180311;Domiciliation SDM Loyer;;214,13;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-33;20190811;4010000;Fournisseurs (compte collectif);4011000;Fournisseur SDM;piece-33;20180311;Domiciliation SDM Loyer;214,13;;C01234;20180311;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-33;20190811;4010000;Fournisseurs (compte collectif);4011000;Fournisseur SDM;piece-33;20180311;Domiciliation SDM Loyer;;214,13;C01234;20180311;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-3;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-3;20180331;ABON DEMAT ET PAPIER: Frais Generaux;0,2;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-3;20190811;6064000;Fournitures administratives;;;piece-3;20180331;ABON DEMAT ET PAPIER: Frais Generaux;1;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-3;20190811;5120000;Banques;;;piece-3;20180331;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-3;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-3;20180331;ABON DEMAT ET PAPIER: Frais Generaux;1,2;;C0123456;20180331;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-25;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-25;20180331;AGIOS 1er : Frais Generaux;;48;C012345;20180331;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-25;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-25;20180331;AGIOS 1er : Frais Generaux;8;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-25;20190811;6064000;Fournitures administratives;;;piece-25;20180331;AGIOS 1er : Frais Generaux;40;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-25;20190811;5120000;Banques;;;piece-25;20180331;AGIOS 1er : Frais Generaux;;48;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-25;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-25;20180331;AGIOS 1er : Frais Generaux;48;;C012345;20180331;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-3;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-3;20180331;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;C0123456;20180331;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-15;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-15;20180403;ABONNEMENT CYBERPLUS: Frais Generaux;0,83;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-15;20190811;6064000;Fournitures administratives;;;piece-15;20180403;ABONNEMENT CYBERPLUS: Frais Generaux;4,17;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-15;20190811;5120000;Banques;;;piece-15;20180403;ABONNEMENT CYBERPLUS: Frais Generaux;;5;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-15;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-15;20180403;ABONNEMENT CYBERPLUS: Frais Generaux;5;;C01234567;20180403;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-15;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-15;20180403;ABONNEMENT CYBERPLUS: Frais Generaux;;5;C01234567;20180403;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-29;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-29;20180410;Frais forfaitaire 1er : Frais Generaux;5,5;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-29;20190811;6064000;Fournitures administratives;;;piece-29;20180410;Frais forfaitaire 1er : Frais Generaux;27,5;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-29;20190811;5120000;Banques;;;piece-29;20180410;Frais forfaitaire 1er : Frais Generaux;;33;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-29;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-29;20180410;Frais forfaitaire 1er : Frais Generaux;33;;C0123456789;20180410;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-31;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-31;20180410;Commission de compte 1er : Frais Generaux;;0,22;C012345678;20180410;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-31;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-31;20180410;Commission de compte 1er : Frais Generaux;0,04;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-31;20190811;6064000;Fournitures administratives;;;piece-31;20180410;Commission de compte 1er : Frais Generaux;0,18;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-31;20190811;5120000;Banques;;;piece-31;20180410;Commission de compte 1er : Frais Generaux;;0,22;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-31;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-31;20180410;Commission de compte 1er : Frais Generaux;0,22;;C012345678;20180410;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-29;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-29;20180410;Frais forfaitaire 1er : Frais Generaux;;33;C0123456789;20180410;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-16;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-16;20180501;ABONNEMENT CYBERPLUS: Frais Generaux;0,83;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-16;20190811;6064000;Fournitures administratives;;;piece-16;20180501;ABONNEMENT CYBERPLUS: Frais Generaux;4,17;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-16;20190811;5120000;Banques;;;piece-16;20180501;ABONNEMENT CYBERPLUS: Frais Generaux;;5;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-16;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-16;20180501;ABONNEMENT CYBERPLUS: Frais Generaux;5;;C012345678910;20180501;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-16;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-16;20180501;ABONNEMENT CYBERPLUS: Frais Generaux;;5;C012345678910;20180501;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-4;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-4;20180504;ABON DEMAT ET PAPIER: Frais Generaux;0,2;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-4;20190811;6064000;Fournitures administratives;;;piece-4;20180504;ABON DEMAT ET PAPIER: Frais Generaux;1;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-4;20190811;5120000;Banques;;;piece-4;20180504;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-4;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-4;20180504;ABON DEMAT ET PAPIER: Frais Generaux;1,2;;C01234567891011;20180504;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-4;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-4;20180504;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;C01234567891011;20180504;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-5;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-5;20180601;ABON DEMAT ET PAPIER: Frais Generaux;0,2;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-5;20190811;6064000;Fournitures administratives;;;piece-5;20180601;ABON DEMAT ET PAPIER: Frais Generaux;1;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-5;20190811;5120000;Banques;;;piece-5;20180601;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-5;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-5;20180601;ABON DEMAT ET PAPIER: Frais Generaux;1,2;;C0123456789101112;20180601;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-5;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-5;20180601;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;C0123456789101112;20180601;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-17;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-17;20180605;ABONNEMENT CYBERPLUS: Frais Generaux;0,83;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-17;20190811;6064000;Fournitures administratives;;;piece-17;20180605;ABONNEMENT CYBERPLUS: Frais Generaux;4,17;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-17;20190811;5120000;Banques;;;piece-17;20180605;ABONNEMENT CYBERPLUS: Frais Generaux;;5;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-17;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-17;20180605;ABONNEMENT CYBERPLUS: Frais Generaux;5;;C012345678910111213;20180605;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-17;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-17;20180605;ABONNEMENT CYBERPLUS: Frais Generaux;;5;C012345678910111213;20180605;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-38;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-38;20180614;Annonce legal journal : reduction de capital – parution Auvergat de Paris : Frais Generaux;17,6;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-38;20190811;6064000;Fournitures administratives;;;piece-38;20180614;Annonce legal journal : reduction de capital – parution Auvergat de Paris : Frais Generaux;88;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-39;20190811;5120000;Banques;;;piece-39;20180614;Annonce legal journal : reduction de capital – parution Auvergat de Paris : Frais Generaux;;105,6;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-39;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-39;20180614;Annonce legal journal : reduction de capital – parution Auvergat de Paris : Frais Generaux;105,6;;C01234567891011121314;20180614;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-38;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-38;20180614;Annonce legal journal : reduction de capital – parution Auvergat de Paris : Frais Generaux;;105,6;C01234567891011121314;20180614;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-6;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-6;20180630;ABON DEMAT ET PAPIER: Frais Generaux;0,2;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-6;20190811;6064000;Fournitures administratives;;;piece-6;20180630;ABON DEMAT ET PAPIER: Frais Generaux;1;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-6;20190811;5120000;Banques;;;piece-6;20180630;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-6;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-6;20180630;ABON DEMAT ET PAPIER: Frais Generaux;1,2;;C012345678910111213141516;20180630;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-47;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-47;20180630;Module Exports Normes operationnels incluant l'archivage DGFIP: Frais Generaux;;58,8;C0123456789101112131415;20180630;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-47;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-47;20180630;Module Exports Normes operationnels incluant l'archivage DGFIP: Frais Generaux;9,8;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-47;20190811;6064000;Fournitures administratives;;;piece-47;20180630;Module Exports Normes operationnels incluant l'archivage DGFIP: Frais Generaux;49;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-48;20190811;5120000;Banques;;;piece-48;20180630;Module Exports Normes operationnels incluant l'archivage DGFIP: Frais Generaux;;58,8;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-48;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-48;20180630;Module Exports Normes operationnels incluant l'archivage DGFIP: Frais Generaux;58,8;;C0123456789101112131415;20180630;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-6;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-6;20180630;ABON DEMAT ET PAPIER: Frais Generaux;;1,2;C012345678910111213141516;20180630;20190312;;;;;;;IMPORT
90;Opérations Diverses;ecriture-piece-1;20190811;1041000;Primes d'émission;;;piece-1;20180703;Reduction de capital;;800;;;20190312;;;;;;;IMPORT
90;Opérations Diverses;ecriture-piece-1;20190811;2770000;Actions propres ou parts propres;;;piece-1;20180703;Reduction de capital;;3200;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-36;20190811;2770000;Actions propres ou parts propres;;;piece-36;20180703;Reduction de capital;3200;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-36;20190811;5120000;Banques;;;piece-36;20180703;Reduction de capital;;3200;;;20190312;;;;;;;IMPORT
90;Opérations Diverses;ecriture-piece-1;20190811;1010000;Capital;;;piece-1;20180703;Reduction de capital;4000;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-18;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-18;20180704;ABONNEMENT CYBERPLUS: Frais Generaux;0,83;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-18;20190811;6064000;Fournitures administratives;;;piece-18;20180704;ABONNEMENT CYBERPLUS: Frais Generaux;4,17;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-18;20190811;5120000;Banques;;;piece-18;20180704;ABONNEMENT CYBERPLUS: Frais Generaux;;5;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-18;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-18;20180704;ABONNEMENT CYBERPLUS: Frais Generaux;5;;C01234567891011121314151617;20180704;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-18;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-18;20180704;ABONNEMENT CYBERPLUS: Frais Generaux;;5;C01234567891011121314151617;20180704;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-46;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-46;20180707;Teledeclaration en ligne - Societe Upra-Data – Liasse fiscale 2017-2018 (regime reel simplifie) : Frais Generaux;17,8;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-46;20190811;6064000;Fournitures administratives;;;piece-46;20180707;Teledeclaration en ligne - Societe Upra-Data – Liasse fiscale 2017-2018 (regime reel simplifie) : Frais Generaux;89;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-47;20190811;5120000;Banques;;;piece-47;20180707;Teledeclaration en ligne - Societe Upra-Data – Liasse fiscale 2017-2018 (regime reel simplifie) : Frais Generaux;;106,8;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-47;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-47;20180707;Teledeclaration en ligne - Societe Upra-Data – Liasse fiscale 2017-2018 (regime reel simplifie) : Frais Generaux;106,8;;C0123456789101112131415161718;20180707;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-46;20190811;4010000;Fournisseurs (compte collectif);4012000;Fournisseur Frais Généraux;piece-46;20180707;Teledeclaration en ligne - Societe Upra-Data – Liasse fiscale 2017-2018 (regime reel simplifie) : Frais Generaux;;106,8;C0123456789101112131415161718;20180707;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-30;20190811;4456611;TVA déductible Achats Taux 1/Factures;;;piece-30;20180710;Frais forfaitaire 4eme : Frais Generaux;5,5;;;;20190312;;;;;;;IMPORT
60;Achats;ecriture-piece-30;20190811;6064000;Fournitures administratives;;;piece-30;20180710;Frais forfaitaire 4eme : Frais Generaux;27,5;;;;20190312;;;;;;;IMPORT
BQ;Banque;ecriture-piece-30;20190811;5120000;Banques;;;piece-30;20180710;Frais forfaitaire 4eme : Frais Generaux;;33;;;20190312;;;;;;;IMPORT
